#TN Rev 2002-2018 from Budget Speech Appendix
#Major Head 0252 is shown as 0250
head,2002,2003,2004,2005,2006,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0005,Central Goods and Services Tax (CGST),,,,,,,,,,,,,,,,"382,92.00","7,561,77.28"
0006,State Goods and Services Tax (SGST),,,,,,,,,,,,,,,,"24,589,31.19","38,533,09.41"
0008,Integrated Goods and Services Tax(IGST),,,,,,,,,,,,,,,,"2,735,56.00","603,50.00"
0020,Corporation Tax,"661,22.00","961,55.00","1,205,76.00","1,384,05.00","1,995,58.00","2,559,73.00","2,790,98.00","3,603,59.00","4,265,94.00","5,004,78.00","5,215,65.00","5,331,53.00","5,875,10.00","6,379,84.00","7,862,52.00","8,298,06.00","10,654,53.06"
0021,Taxes on Income other than Corporation Tax,"513,99.00","572,95.22","776,23.02","975,65.08","1,211,82.00","1,718,05.00","1,752,50.00","2,007,35.00","2,254,30.00","2,542,21.00","3,122,53.00","3,510,65.00","4,195,38.00","4,403,41.00","5,464,48.00","7,007,12.00","7,846,61.59"
0022,Taxes on Agricultural Income,"1,63.37","1,25.42","58.6",13.4,6.75,11.01,0.78,0.38,0.54,-40.28,0.20,-243.44,0.26,0.34,0.14,1.77,10.23
0028,Other Taxes on Income and Expenditure,"4,42.00","- 8.00","- 29.00","- 29.00","-33.00",(-) 13.00,-11.00,,,,,,14.00,18.00,,,"55,49.00"
0029,Land Revenue,"8,39.70","17,50.31","71,95.19","179,48.45","120,68.19","78,02.77","207,72.78","116,65.55","113,28.36","87,20.97","131,31.08","272,83.05","170,53.96","257,52.53","153,39.82","152,30.26","177,98.54"
0030,Stamps and Registration Fees,"1,079,11.84","1,316,40.31","1,604,35.83","2,084,85.71","2,997,46.18","3,804,74.22","3,793,68.12","3,662,16.21","4,650,58.50","6,580,78.77","7,645,39.74","8,251,24.83","8,362,32.90","8,721,45.09","7,236,65.35","9,194,62.83","11,066,18.12"
0031,Estate Duty,,,,,,,,,,,,,,,,,,
0032,Taxes on Wealth,"1,06.00","0.84","2,64.00","2,73.00","2,51.00","2,84.00","2,61.00","8,15.00","8,75.00","19,32.00","8,80.00","14,64.00","15,86.00","1,99.00","17,99.00",-25.00,392.06
0035,Taxes on Immovable Property other than Agricultural Land,"12,68.92","12,02.89","11,80.84","11,85.94","14,44.55","15,74.74","11,78.56","12,01.19","10,20.99","10,88.73","16,75.46","11,51.91","10,05.75","7,90.92","10,19.84","8,36.25","10,33.99"
0037,Customs,"697,59.00","756,23.00","850,83.00","977,26.00","1,247,11.00","1,524,51.00","1,626,98.00","1,225,51.00","1,908,46.00","2,204,57.00","2,412,85.00","2,586,57.00","2,720,95.00","3,266,20.00","3,124,11.00","2,734,70.00","2,171,71.00"
0038,Union Excise Duties,"1,072,79.00","1,105,51.00","1,178,45.00","1,304,16.00","1,324,25.00","1,455,34.00","1,418,89.00","987,16.00","1,388,34.00","1,426,57.00","1,639,78.00","1,826,83.00","1,536,43.00","2,748,63.00","4,120,15.00","2,858,60.02","1,443,22.03"
